ann_level_3	1_parenchyma	2_inferior turbinate	2_left or right main bronchus	2_lobular bronchi	2_parenchyma lower lobe	2_parenchyma right middle lobe	2_parenchyma upper lobe	2_segmental bronchi	2_trachea	distal airways lower left lobe	distal airways lower right lobe	distal airways middle right lobe	distal airways upper left lobe	distal airways upper right lobe	inferior turbinate left nostril	inferior turbinate right nostril	lobular bronchi lower left lobe	lobular bronchi lower right lobe	lobular bronchi upper left lobe	lobular bronchi upper right lobe	parenchyma left lower lobe	parenchyma left upper lobe	parenchyma right lower lobe	parenchyma right upper lobe
AT1	4461	0	1	0	805	112	297	334	5	0	10	176	0	0	0	0	0	0	0	0	539	652	30	515
AT2	23199	0	0	1	21864	323	182	1740	9	0	13	215	0	0	0	0	0	0	1	0	6420	4597	1444	2167
B cell lineage	770	14	909	1231	398	22	100	167	57	0	27	27	6	6	4	152	0	4	4	6	1747	303	17	313
Basal	217	316	2179	18645	54	109	9	654	43340	183	119	482	696	397	79	3256	2441	3734	5322	2229	93	79	13	67
Dendritic cells	1835	132	123	1863	523	163	117	68	157	4	58	135	116	9	62	1142	20	30	61	28	2612	334	380	347
EC arterial	3967	0	0	223	252	780	116	35	34	0	1	157	0	0	0	9	13	28	11	14	841	270	55	585
EC capillary	6736	0	0	89	174	6901	225	31	0	0	1	2872	0	0	0	0	0	0	1	1	2557	924	16	2677
EC venous	4598	14	0	2306	354	610	395	265	728	0	5	153	0	0	0	134	153	510	506	291	1203	282	66	402
Fibroblasts	6308	0	415	1009	259	641	315	712	115	0	0	964	0	0	2	53	42	89	27	56	4031	4575	215	556
Fibromyocytes	8	0	0	11	2	0	0	8	30	0	0	0	0	0	0	0	2	88	45	94	43	0	1	3
Innate lymphoid cell NK	4171	14	3	551	161	1552	79	273	5	0	9	1178	1	6	2	52	0	2	3	1	7784	389	47	695
Lymphatic EC differentiating	50	0	0	8	9	2	8	0	0	0	0	2	0	0	0	0	0	0	0	0	63	388	0	36
Lymphatic EC mature	2405	0	0	59	243	156	136	44	3	0	1	94	0	0	0	4	10	2	4	3	465	43	65	264
Lymphatic EC proliferating	17	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2
Macrophages	45545	8	1879	176	16545	4137	2360	848	26	108	374	4042	199	6	5	70	5	16	1	6	12069	7408	3792	12219
Mast cells	654	9	1	600	129	415	132	565	28	21	9	356	29	26	0	176	4	27	9	9	3155	116	76	77
Monocytes	8301	22	517	1360	1824	548	339	271	4	2	43	273	6	4	9	135	0	1	6	7	6255	2673	1533	2396
Multiciliated lineage	5618	4222	1765	8009	687	509	232	354	3215	672	1708	2100	1059	966	863	4669	242	229	433	189	612	775	121	1849
Myofibroblasts	113	0	1	1	9	25	30	88	1	0	0	24	0	0	0	0	0	0	0	1	226	173	3	21
None	644	3	6	384	45	204	77	323	52	0	0	149	0	0	0	2	10	63	29	37	669	361	22	146
Rare	36	36	72	129	4	0	1	31	313	2	7	25	31	10	16	111	7	19	15	5	3	2	2	8
SM activated stress response	33	0	20	33	2	1	7	13	0	0	0	3	0	0	0	0	0	0	0	0	150	294	0	0
Secretory	3661	12289	1120	2461	505	345	136	450	3769	910	1599	2132	571	993	5929	40600	442	105	500	136	505	622	81	696
Submucosal Secretory	3	41	223	377	0	0	0	28	1993	0	0	0	1	2	11	1872	2	89	39	19	0	0	0	0
T cell lineage	11200	659	183	16279	613	985	630	467	120	83	96	667	58	52	140	941	18	20	32	10	12974	873	129	3630
