ann_level_4	1_parenchyma	2_inferior turbinate	2_left or right main bronchus	2_lobular bronchi	2_parenchyma lower lobe	2_parenchyma right middle lobe	2_parenchyma upper lobe	2_segmental bronchi	2_trachea	distal airways lower left lobe	distal airways lower right lobe	distal airways middle right lobe	distal airways upper left lobe	distal airways upper right lobe	inferior turbinate left nostril	inferior turbinate right nostril	lobular bronchi lower left lobe	lobular bronchi lower right lobe	lobular bronchi upper left lobe	lobular bronchi upper right lobe	parenchyma left lower lobe	parenchyma left upper lobe	parenchyma right lower lobe	parenchyma right upper lobe
AT2 proliferating	509	0	0	0	250	1	0	7	1	0	0	1	0	0	0	0	0	0	0	0	117	5	68	17
Adventitial fibroblasts	4775	0	353	80	75	15	122	76	4	0	0	54	0	0	0	14	0	0	1	0	2195	2260	171	126
Alveolar fibroblasts	921	0	43	38	177	116	186	471	0	0	0	281	0	0	0	0	0	0	0	0	1364	1343	16	226
Alveolar macrophages	27341	5	14	88	14247	3843	1971	840	18	106	333	3821	134	6	1	13	5	16	0	2	7588	7071	1047	10306
B cells	534	14	908	851	51	17	68	106	6	0	25	22	5	6	4	148	0	0	0	1	1303	233	11	198
Basal resting	67	218	17	11180	38	5	9	172	17379	51	19	91	343	130	14	207	1545	2559	3178	1630	62	5	4	32
CD4 T cells	5852	43	112	4315	365	476	343	330	25	6	63	366	26	12	11	231	11	12	14	6	6584	301	99	1682
CD8 T cells	5279	616	69	11881	241	502	286	136	94	77	32	297	32	37	129	705	7	8	18	4	6316	560	29	1719
Classical monocytes	5005	20	436	1225	1445	275	227	225	2	2	35	146	6	2	8	127	0	0	2	5	4282	1663	1130	1427
Club	1925	6087	12	1808	53	269	102	47	1487	665	1265	2023	491	753	2548	16994	414	98	466	132	115	38	28	291
DC1	63	3	15	41	11	5	2	2	1	0	0	6	0	1	0	4	0	0	0	0	144	16	5	3
DC2	1654	128	92	1719	503	117	102	55	152	4	48	104	111	8	57	898	19	29	58	28	2278	284	353	332
Deuterosomal	120	171	17	127	11	0	0	11	133	11	29	52	10	20	60	118	4	12	17	7	0	3	6	65
EC aerocyte capillary	1301	0	0	0	27	2546	24	17	0	0	0	1259	0	0	0	0	0	0	0	0	893	323	6	761
EC general capillary	5435	0	0	89	147	4355	201	14	0	0	1	1613	0	0	0	0	0	0	1	1	1664	601	10	1916
EC venous pulmonary	4010	0	0	59	231	586	191	15	2	0	2	141	0	0	0	4	0	0	0	1	600	185	46	345
EC venous systemic	588	14	0	2247	123	24	204	250	726	0	3	12	0	0	0	130	153	510	506	290	603	97	20	57
Goblet	126	6202	1108	651	16	4	2	16	2276	244	325	71	79	238	3381	23606	28	7	34	4	10	3	5	35
Interstitial macrophages	18204	3	1865	88	2298	294	389	8	8	2	41	221	65	0	4	57	0	0	1	4	4481	337	2745	1913
Ionocyte	26	31	63	109	1	0	1	21	116	0	4	18	26	9	14	95	1	14	4	2	2	0	0	4
Migratory DCs	80	0	1	13	9	3	13	1	1	0	3	9	2	0	2	9	0	1	2	0	122	17	20	4
Multiciliated	5498	4051	1748	7882	676	509	232	343	3082	661	1679	2048	1049	946	803	4551	238	217	416	182	612	772	115	1784
NK cells	4171	14	3	551	161	1552	79	273	5	0	9	1178	1	6	2	52	0	2	3	1	7784	389	47	695
Neuroendocrine	8	0	9	12	3	0	0	10	101	0	0	0	0	0	0	0	1	1	3	3	1	2	2	3
Non-classical monocytes	3296	2	81	135	379	273	112	46	2	0	8	127	0	2	1	8	0	1	4	2	1973	1010	403	969
None	35042	12	29	1320	23114	2017	985	3143	161	21	34	1175	29	26	0	191	39	208	99	158	12456	6889	1631	3799
Peribronchial fibroblasts	128	0	19	888	3	5	4	8	111	0	0	5	0	0	2	39	42	89	26	56	57	44	3	44
Pericytes	421	0	0	3	3	505	3	157	0	0	0	624	0	0	0	0	0	0	0	0	262	894	0	160
Plasma cells	236	0	1	380	347	5	32	61	51	0	2	5	1	0	0	4	0	4	4	5	444	70	6	115
Plasmacytoid DCs	38	1	15	90	0	38	0	10	3	0	7	16	3	0	3	231	1	0	1	0	68	17	2	8
SMG duct	2	33	152	203	0	0	0	3	637	0	0	0	1	2	10	221	2	0	6	2	0	0	0	0
SMG mucous	1	5	13	61	0	0	0	0	205	0	0	0	0	0	1	181	0	62	6	2	0	0	0	0
SMG serous	0	3	58	113	0	0	0	25	1151	0	0	0	0	0	0	1470	0	27	27	15	0	0	0	0
Subpleural fibroblasts	63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	34	25	0
Suprabasal	150	98	2162	7465	16	104	0	482	25961	132	100	391	353	267	65	3049	896	1175	2144	599	31	74	9	35
T cells proliferating	69	0	2	83	7	7	1	1	1	0	1	4	0	3	0	5	0	0	0	0	74	12	1	229
Transitional Club-AT2	1610	0	0	2	436	72	32	387	6	1	9	38	1	2	0	0	0	0	0	0	380	581	48	370
Tuft	2	5	0	8	0	0	0	0	96	2	3	7	5	1	2	16	5	4	8	0	0	0	0	1
