query_gene	annot_source	annot	annot_geneonly
LOC101680223	entrez_name	APOBEC3H	APOBEC3H
LOC101678249	entrez_name	BCL2L2	BCL2L2
LOC106007309	entrez_name	BSPH1	BSPH1
LOC101686704	entrez_name	CES3	CES3
LOC101686568	entrez_name	CLEC9A	CLEC9A
LOC101686728	entrez_name	CNPY2	CNPY2
LOC101670087	entrez_name	COLEC11	COLEC11
LOC101680516	entrez_name	CPA1	CPA1
LOC101693490	entrez_name	CUNH7orf61	CUNH7orf61
LOC106003971	entrez_name	CYSLTR2	CYSLTR2
LOC101688019	entrez_name	GPBP1L1	GPBP1L1
LOC101687717	entrez_name	H3-4	H3-4
LOC101673521	entrez_name	HSD17B12	HSD17B12
LOC101679442	entrez_name	KRT16	KRT16
LOC101669871	NA	NA	NA
LOC101669883	kristen_mm_hs_ortholog	OR10AD1	OR10AD1
LOC101669887	NA	NA	NA
LOC101669892	kristen_mm_hs_ortholog	SIRPA	SIRPA
LOC101669908	kristen_mm_hs_ortholog	IFI16	IFI16
LOC101669919	entrez_alias	TAS2R42	TAS2R42
LOC101669923	entrez_desc	putative vomeronasal receptor-like protein 4	NA
LOC101669926	entrez_desc	heat shock 70 kDa protein 1	NA
LOC101669937	kristen_mm_hs_ortholog	OR5D18	OR5D18
LOC101669947	entrez_desc	melanoma-associated antigen B10-like	NA
LOC101669954	NA	NA	NA
LOC101669962	NA	NA	NA
LOC101669963	kristen_mm_hs_ortholog	Rpl35a	Rpl35a
LOC101669968	NA	NA	NA
LOC101669986	NA	NA	NA
LOC101669993	entrez_desc	cytochrome c oxidase copper chaperone	NA
LOC101670017	kristen_mm_hs_ortholog	ZNF131	ZNF131
LOC101670020	NA	NA	NA
LOC101670023	entrez_desc	translation initiation factor IF-2-like	NA
LOC101670027	kristen_mm_hs_ortholog	Olfr639	Olfr639
LOC101670028	kristen_mm_hs_ortholog	OR2W1	OR2W1
LOC101670033	entrez_desc	PEST proteolytic signal-containing nuclear protein-like	NA
LOC101670038	entrez_alias	KPRP	KPRP
LOC101670039	kristen_mm_hs_ortholog	Olfr782	Olfr782
LOC101670041	kristen_mm_hs_ortholog	Actl11	Actl11
LOC101670048	NA	NA	NA
LOC101670052	NA	NA	NA
LOC101670059	NA	NA	NA
LOC101670064	entrez_desc	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	NA
LOC101670065	NA	NA	NA
LOC101670083	NA	NA	NA
LOC101670084	NA	NA	NA
LOC101670086	NA	NA	NA
LOC101670087	entrez_alias	ALLC, COLEC11	ALLC, COLEC11
LOC101670092	NA	NA	NA
LOC101670095	NA	NA	NA
LOC101670098	entrez_alias	CDCA5	CDCA5
LOC101670109	entrez_alias	AVP	AVP
LOC101670124	NA	NA	NA
LOC101670130	entrez_desc	EF-hand calcium-binding domain-containing protein 1	NA
LOC101670133	NA	NA	NA
LOC101670340	NA	NA	NA
LOC101670137	kristen_mm_hs_ortholog	SPATA31D1	SPATA31D1
LOC101670138	kristen_mm_hs_ortholog	Them7	Them7
LOC101670141	entrez_alias	ZNF26	ZNF26
LOC101670155	kristen_mm_hs_ortholog	Msx3	Msx3
LOC101670156	entrez_desc	H-2 class II histocompatibility antigen, E-S beta chain	NA
LOC101670157	kristen_mm_hs_ortholog	OR11H7	OR11H7
LOC101670158	kristen_mm_hs_ortholog	Xlr5c	Xlr5c
LOC101670160	entrez_desc	spermatogenesis-associated protein 22-like	NA
LOC101670161	entrez_desc	hsc70-interacting protein-like	NA
LOC101670163	entrez_desc	UDP-glucuronosyltransferase 3A2	NA
LOC101670164	NA	NA	NA
LOC101670167	NA	NA	NA
LOC101669954	NA	NA	NA
LOC101670183	entrez_desc	inactive serine/threonine-protein kinase TEX14-like	NA
LOC101670187	kristen_mm_hs_ortholog	Adam34l	Adam34l
LOC101670199	entrez_desc	28S ribosomal protein S15, mitochondrial-like	NA
LOC101670208	entrez_desc	ubiquitin-conjugating enzyme E2 N	NA
LOC101670216	NA	NA	NA
LOC101670220	entrez_alias	KRT73	KRT73
LOC101670221	kristen_mm_hs_ortholog	SPDYE6	SPDYE6
LOC101670234	entrez_desc	taste receptor type 2 member 42-like	NA
LOC101670239	NA	NA	NA
LOC101670240	entrez_desc	zinc finger protein 679-like	NA
LOC101670246	entrez_desc	heat shock 70 kDa protein 1	NA
LOC101670252	kristen_mm_hs_ortholog	Gm49339	Gm49339
LOC101670254	kristen_mm_hs_ortholog	OR5L2	OR5L2
LOC101670048	NA	NA	NA
LOC101670264	kristen_mm_hs_ortholog	DCAF8L2	DCAF8L2
LOC101670281	NA	NA	NA
LOC101670294	entrez_desc	olfactory receptor 52J3-like	NA
LOC101670298	entrez_alias	MBP	MBP
LOC101670300	NA	NA	NA
LOC101670305	kristen_mm_hs_ortholog	OR4D1	OR4D1
LOC101670323	NA	NA	NA
LOC101670330	kristen_mm_hs_ortholog	GAPDH	GAPDH
LOC101670332	kristen_mm_hs_ortholog	H2AC21	H2AC21
LOC101670336	entrez_desc	heterogeneous nuclear ribonucleoprotein A1-like	NA
LOC101670339	NA	NA	NA
LOC101670340	entrez_desc	casein kinase 2 subunit alpha' interacting protein	NA
LOC101670342	entrez_desc	T cell receptor alpha variable 18-like	NA
LOC101671123	NA	NA	NA
LOC101670346	entrez_desc	olfactory receptor 56A1	NA
LOC101670347	entrez_desc	olfactory receptor 51Q1-like	NA
LOC101670359	entrez_alias	MTPAP	MTPAP
LOC101670361	entrez_desc	olfactory receptor 10G3	NA
LOC101670362	entrez_desc	DLA class II histocompatibility antigen, DR-1 beta chain	NA
LOC101670363	entrez_desc	olfactory receptor 4K5-like	NA
LOC101670366	entrez_desc	probable non-functional immunoglobulin lambda variable 1-50	NA
LOC101670372	NA	NA	NA
LOC101670391	kristen_mm_hs_ortholog	CGGBP1	CGGBP1
LOC101670392	NA	NA	NA
LOC101670393	entrez_alias	NOSIP	NOSIP
LOC101670399	entrez_desc	glutamate decarboxylase 1-like	NA
LOC101670409	NA	NA	NA
LOC101670414	entrez_desc	carbonyl reductase [NADPH] 2	NA
LOC101670425	entrez_desc	RNA polymerase II elongation factor ELL2-like	NA
LOC101670427	entrez_desc	calcitonin receptor-stimulating peptide 1-like	NA
LOC101694020	entrez_desc	zinc finger protein 33B-like	NA
LOC101670429	entrez_alias	TRRAP	TRRAP
LOC101670438	entrez_alias	DHRS4	DHRS4
LOC101670441	NA	NA	NA
LOC101670445	NA	NA	NA
LOC101670446	kristen_mm_hs_ortholog	DCAF12L2	DCAF12L2
LOC101670453	kristen_mm_hs_ortholog	Olfr1239	Olfr1239
LOC101670459	kristen_mm_hs_ortholog	Xlr4c	Xlr4c
LOC101670464	entrez_desc	UDP-glucuronosyltransferase 3A2-like	NA
LOC101670470	NA	NA	NA
LOC101670474	entrez_alias	AGTRAP	AGTRAP
LOC101670478	entrez_desc	glucokinase regulatory protein	NA
LOC101670480	entrez_desc	60S ribosomal protein L36a-like	NA
LOC101670481	entrez_desc	zinc finger and SCAN domain-containing protein 2	NA
LOC101670493	NA	NA	NA
LOC101670494	NA	NA	NA
LOC101670497	entrez_alias	FIBP	FIBP
